Fixture,Time,Flow
Bidet,2019/07,115663.0
Bidet,2019/08,32354.0
Bidet,2019/09,96779.0
Bidet,2019/10,135620.0
Bidet,2020/07,160868.0
Bidet,2020/08,89251.0
Bidet,2020/09,98233.0
Bidet,2020/10,50265.0
Kitchenfaucet,2019/07,216510.0
Kitchenfaucet,2019/08,138038.0
Kitchenfaucet,2019/09,187113.0
Kitchenfaucet,2019/10,261096.0
Kitchenfaucet,2020/07,438041.0
Kitchenfaucet,2020/08,436947.0
Kitchenfaucet,2020/09,501328.0
Kitchenfaucet,2020/10,254716.0
Shower,2019/07,517599.0
Shower,2019/08,199621.0
Shower,2019/09,461125.0
Shower,2019/10,697739.0
Shower,2020/07,552103.0
Shower,2020/08,629717.0
Shower,2020/09,946898.0
Shower,2020/10,692273.0
Washbasin,2019/07,190805.0
Washbasin,2019/08,88089.0
Washbasin,2019/09,214538.0
Washbasin,2019/10,316750.0
Washbasin,2020/07,432080.0
Washbasin,2020/08,209454.0
Washbasin,2020/09,250911.0
Washbasin,2020/10,153717.0
